content,Class
"That is fucking ridiculous.  Still the other editor got not so much as a warning, let alone a block.  A week?  What a cunt you are and what a pathetic joke your so called rules are.  I am sure you expect people to actually follow them even while you treat them as meaningless.  Well, it's not hard to get a different IP address.  200.120.210.115",Abusive
"eyesnore 

fuck me hard eyesnore",Abusive
"Sup' Fag' 

Make sure you remove any pics you added, cocksucker.",Abusive
"""

 """"Absolute load of shit"""" 

Your quoted remarks are clearly uncivil and yet you comment on the civility of others. Such a stance beggars belief. Would you care to explain yourself.   Talk  """,Abusive
". I am a stupid bitch for blocking this user, but that's just what bitches like me do",Abusive
"Continuing to learn to fuck off. 

Continuing to tell me to stop changing my page will result in me changing the page back to how I put it. As it is my page, fuck off.",Abusive
"U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'U SUCK!!!!
U SUCK!!!!'U SUCK!!!!U SUCK!!!!'",Abusive
"Hey, Halcy.Seems like you get mad alot. Want me to call the WAAAAAMBULANCE for you? Want some dick (extra small) with that too, bitch? U mad? butthurt? I bet you're having an orgy with MeetTheMedic and MeepTheSheep, aren't you? You three would make a good threesome. You're all reject 4-Chan trolls that became admins on another website to have Unwarranted Self Importance while you spam faggot and dick all day. Seems like you enjoy that kind of stuff. I had no idea, really.
 
TL;DR: U mad?",Abusive
"Did you know... 

... that you are an ugly piece of shit?

Serious question.",Abusive
"Why?

Why would you talk about me like that, You have no reason and I don't appreciate Samir(the faggit gaybob homosexual) blcoking me. Why do dirt to me, put dirt on yourself. Watch soon I'll be an adminastator.",Abusive
"""

 Zuckerberg Dumb F**ks Incident 

Candidate for inclusion to the incidents & controversy section of facebook page. Controversial Remarks Alleged Calling Facebook Users """"Dumb F**ks""""

sources for the below mentioned contribution:

 http://www.forbes.com/sites/andygreenberg/2012/02/01/is-zuckerbergs-the-hacker-way-letter-facebooks-dont-be-evil-and-will-it-live-up-to-it/
 http://gawker.com/5636765/facebook-ceo-admits-to-calling-users-dumb-fucks
 http://au.businessinsider.com/well-these-new-zuckerberg-ims-wont-help-facebooks-privacy-problems-2010-5
 http://www.theregister.co.uk/2010/05/14/facebook_trust_dumb/
 http://www.theweek.co.uk/technology/14625/are-users-%E2%80%98dumb-fucks%E2%80%99-trusting-data-facebook
 http://tdh.me/zuckerberg-called-early-facebook-users-dumb-fucks-so-what/
 http://anphicle.com/en/they-trust-me-dumb-fucks-facebook-ceo-mark-zuckerberg/
 http://www.tomsguide.com/us/Facebook-Mark-Zuckerberg-Social-Networking-privacy-security,news-6794.html
 http://au.businessinsider.com/embarrassing-and-damaging-zuckerberg-ims-confirmed-by-zuckerberg-the-new-yorker-2010-9

Other sections on Wikipedia where Controversial Remarks is valid:

 Bryant Gumbel (section Controversial remarks)
 Mel Gibson (section Controversial remarks)
 Sherrod Brown (section Controversial remarks)
 Kent Hovind (section Controversial remarks)
 Venkaiah Naidu (section Controversial Remarks)
 Greg Gutfeld (section Controversial remarks)
 Lawrence Cannon (section Controversial remarks)
 Daniel Bernard (diplomat) (section Controversial remark)
 James R. Flynn (section Controversial remarks)

and many many more

start.
While at Harvard College 19-year-old Facebook CEO Mark Zuckerberg allegedly used login data from his social network to hack into fellow students email accounts; that evidence also included instant message transcripts where he calls facebook users """"dumb fucks"""". The alleged following exchange is between a 19-year-old Mark Zuckerberg and a friend shortly after Mark launched The Facebook in his dorm room:
Zuck: Yeah so if you ever need info about anyone at Harvard
Zuck: Just ask.
Zuck: I have over 4,000 emails, pictures, addresses, SNS
[Redacted Friend's Name]: What? How'd you manage that one?
Zuck: People just submitted it.
Zuck: I don't know why.
Zuck: They """"trust me""""
Zuck: Dumb fucks.

In another instant message (IM)

FRIEND: so have you decided what you are going to do about the websites?
ZUCK: yea i’m going to fuck them
ZUCK: probably in the year
ZUCK: *ear
end.""",Abusive
""" A misery==
You have made my life a misery on Wikipedia, and now you're gonna pay for it you disgusting, ignorant and stupid bastard.   —Preceding unsigned comment added by 86.137.14.174   

=""",Abusive
FUCK YOU YOU ASS HOLE! FUCK YOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1111,Abusive
"ASSHOLE 

YOU FUCKING ASSHOLE I HATE YOU YOU SUCK WHY THE FUCK DID YOU EDIT MY PAGE YOU FUCKING FATTY GEEK HOBO LIVING IN YOUR MOMS HOUSE YOU LAZY WHORE.
I JUST WANT TO HAVE FUN YOU STUPID SHIT WHAT IS WRONG WITH YOU",Abusive
"stinky message 

my bro fixed it fo me and i can spell so get it straight and how many edits do you have trying to block people and all. niiiiiiiiaaaaaaaaggaaaaaaaaaaaaaaaaaaa.and try to blok me now nnnnniiiiiiga and if you block me i am gona cusssssssse you out nigga and yo username is jd uk it should be jd gaaaaaaaaaaaaaaay cuz you like yamla and if you try to blok me my bro is gonna unblok me how you like them apples nnnnnnnnnnnnniiiiggggggggggggaaaaaaaaa.and if you take my celeb pictures of my page you betta sleep with one eye open cuz i am flying to the united kingdom nnnnnnnnigga and you betta leave me a message so i can curse you out more.",Abusive
Let the eternal wikipedia archives show that i stuck my pen1s into your fat sister's crabby vag1n@.  that's the truth.  fluck you.,Abusive
"wikipedia search warrior4321 

your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead your a dic",Abusive
"NOT GOING TO FUCKING ISLE OF SHEPPEY 

WE'RE NOT GOING THERE. END OF! 86.178.49.98",Abusive
"""
 What the fuck are you talking about? I removed nothing. I merely pointed out that the claim that the germans called this program the """"Woofan SS"""" was false with a """"dubious"""" tag and explained on the talk page. No source says that. I presume the problem is that this website by many people whose grasp of written English is poor.""",Abusive
"probably that you are a german... fucking germans, nothing changes",Abusive
You are a worthless piece of shit. You must also be a knob-gobbler.,Abusive
you are the biggest jerk ever.  what nerd joins wikipedia you fag.  your sooooo stupid!  jk.  your awesome,Abusive
"lol 

Dear SineBot

F**CK you. In case you didn't know... If I don't sign... you take care of it for me...so take those tildes and shove them up your cyber AZS mother F**KKER.. just be glad that I don't sign so you have a job you F*k you only know the numbers 1 and 0 so shut the f*k up.",Abusive
"""

""""And, um, your links point to Rushton and Lynn...you do realise that their work is widely dismissed as racist, right?""""
What a stupid little PC brainwashed man you are. 220.126.1.93  """,Abusive
"Your Homosexuality 

Why are you so fucking gay? Signed, your parents. Also, 100 GET. 85.179.51.58",Abusive
"Your Edits 

Fuck off.  talk-contribs",Abusive
"Hello giant asshole,

What the fuck? Feetboarding is extremely popular in St. Louis. You probably wouldn't fucking know cuz u dont live in St. Louis. I do. I think i know a little more about it than you. Who the fuck are you thinking that your hotshit cuz youre the self proclaimed wikipedia police. let people talk about shit that they know about and that you obviously don't know shit about. Thank you cocksucking douschebag.",Abusive
JUST READ THE FUCKING CENSUS DATA. Do you think I made up these numbers?? CHRIST!,Abusive
Go fuck yourself you stupid bitch go do something better with your life instead of sitting the whole day behind your computer and 'editing' go do something useful and stop wasting power that way you can help greenpeace on wikipedia.,Abusive
also that waves are born from space because of the two big monster that they fucked on.Bold text,Abusive
"I will do Whatever i want and it is my right, what is both of yous Problem Asshole.",Abusive
"you suck people hahaha lalalala

signed your mama",Abusive
"GO FUCK YOURSELF 

FASCIST. Leave your racism out of the Jonathon Swift article.",Abusive
"""

The """"persian"""" language is actually from Aria, today's Herat in Afghanistan. So shouldn't Dari be the language and Persian the dialect??? Persian was not the native language of """"Persia"""", because """"Persia"""" was actually """"Elam"""" and their native tongue was """"Elamite""""!!! You bunch of filthy hypocrites!!! A nation goes to war and you rob them of everything, including their language! Things will change soon you bunch of filthy semitic Elamite rats!""",Abusive
"Rodeo Song lyrics

Well it's 40 below and I don't give a fuck
Got a heater in my truck and I'm off to the rodeo
And it's allemande left and allemande right
Come on ya fuckin' dummy get your right step right
Get off the stage ya god damn goof, get off

piss me off, fuckin' jerk, get on my nerves

Well here comes Johnny with his pecker in his hand
He's a one ball man and he's off to the rodeo
And it's allemande left and allemande right
Come on ya fuckin' dummy get your right step right
Get off the stage ya god damn goof, get off

piss me off, fuckin' jerk, get on my nerves

Well it's 40 below and I aint got a truck
and I dont give a fuck cause I'm off to the rodeo
And it's allemande left and allemande right
Come on ya fuckin' dummy get your right step right
Get off the stage ya god damn goof, get off

piss me off, fuckin' jerk, get on my nerves

Well here comes Johnny with his pecker in his hand
He's a one ball man and he's off to the rodeo
And it's allemande left and allemande right
Come on ya fuckin' dummy get your right step right
Get off the stage ya god damn goof, get off

piss me off, fuckin' jerks, get on my nerves",Abusive
"Violent fucking imagery? Are you kidding me?
Holy fucking shit. Dude you are part of the problem I really hope you know that.
I know you think you're doing doing something good. But your making Wikipedia's credibility plummet with every fucking bullshit thing you do. I really hope you know that. 71.192.72.22",Abusive
"if 

IF YOU HAD ANY GUTS YOU'D BAN ME RIGHT NOW

FAGGOT",Abusive
"fuck you, you god damn fucking cocksucker. you fucking fuck yourself pan dan.",Abusive
"You are such a useless bitch! I mean do you have a life or friends? Because all you do is sit at your computer on wikipeida. You are a loser and I would watch out because you will be blocked soon!
{Talkback|Tdawg4701}",Abusive
Your'e a fucking nerd. And I feel real bad for your mother.,Abusive
"Get a fucking life, and stop chaining my page.",Abusive
well do it then bitch ass faggot,Abusive
been hrrassing people. FUCK YOU FAGGOT,Abusive
"Fuck off you cunt 

You're such an asshole 142.162.85.154",Abusive
This Ghirlor is a fucking moron,Abusive
"yeah 

but scientology is still a fucking joke.  70.92.103.13",Abusive
"Homo... 

Don't be gay- mind your own fucking business!",Abusive
"""

You are the """"racist"""" piece of dirt Buckley... and all the rest of you for letting Hod Lipson the Zionist Jew steal my technology, and you know it P!GS!""",Abusive
What did I do? I went to the site and found nothing.98.82.114.66  fuck you,Abusive
"My Friend 

I'm curious as to whether you have any idea just what a fucking douche bag you are.

Let me know",Abusive
what the fuck i do not get it,Abusive
"you're hot 

i will rape you ;)",Abusive
This is my fucking page I can say whatever I want. Prove me wrong.,Abusive
"""ha ha ha im really getting a kick out of all of this you guys are so angry and would love to make me took bad, fantastic! is it working out how you planned? boy i hope so. ha ha ha!. my background is in graphic design and photography not art, which is more than i can say for the likes of you, and I have uploaded historic photos where appropriate, you must have been busy """"cleaning up"""" the article (ha ha ha) and didnt notice what was right in front of you...exactly the kind of person we need helping the article out. keep it coming if you like... while your dying to find things im doing wrong im actually down there photographing our history being demolished. if you cant contribute, dont bitch.24.239.189.6  

""",Abusive
"Well... 

I say the character John Rambo become a seperate page, but i'll probably get blocked for this post when we got dicks talkin about David Morrell books.  They can go off topic but the fags on wikipedia block everything I say

User:Fuck You (Usertalk:fu.cky.ou today now (UTC) fuck you",Abusive
"Your Edits to Glenelg High School 

I know that you have problems, but that doesn't mean that you can just add your name. You are 100% right about no-one caring about you (knowone cares about your shit).

P.S.- Get a life and grow some balls you fag!

122.106.27.175",Abusive
FUCK YOU Ckatz you are german Cock sucker and FUCKER MOTHER FUCKER,Abusive
I put it on the history the best I could you cunt. Now go fuck your mother.,Abusive
"You don't know what are real difficulties, little prick. You'll learn it after taking the protection away. You can't keep it protected all the time. We'll never give in until the page looks like WE want. I warn you, Clayworth, that I an ruin your health from any distance. I can also easily kill you with an energy stroke. Don't play with fire, stupid ass.",Abusive
what a little bitch running to the admins to block,Abusive
"You're an ass. That was not a clip of the real game.
-Jutras",Abusive
"one final msg 

Seth, you have potential....to be a cocksucking faggot. get the fuck off wikipedia and find something productive to do, you little assclown",Abusive
You can't warnings you moron! Now leave the page alone you fool.,Abusive
"You peice of irish scum 

How dare you talk shit about my country? Fuck you, stupid shamrock bitch, I hope the next genocide we serve on you wipes your entire disgusting, repulsive race out. Fucking micks, you shouldn't even be alive after the first attempts, hopefully next time you wont be. Die. 92.24.85.159",Abusive
"""

 A barnstar for you! 

  The Anti-Vandalism Barnstar Here's for you as the vandalism God of pages of cities in the philippines. In calamba city your a slut, freak, and a moron. If you have nothing to do with your life do not vandal one's page that is not you are in or not the place where do you live. What the hell are you doing.   """,Abusive
"I know you wikiterrorists love to limit free speech but you have to admit that IP banning is foolish, if that is your best option then you are a fool.
Keep being an asshole Duran, it is your only talent",Abusive
YOUR HILARIOUS WHY DONT U STOP CHANGING WHAT PPL SAY AND LEAVE THEM ALONE. IF IM CORRECT WERE ALLOWED TO SAY WHATEVER WE FEEL LIKE SO U HAVE NO RIGHT TO CHANGE WHAT OTHER PPL SAY. MAKE A SEPERATE COMMENT ABOUT BUT DONT BE AN A**HOLE AND CHAGE/DELETE IT,Abusive
", but hey here's a compliment Canadian, at least you're not as big of a dumbass as that AubernPilot queer",Abusive
FUCKING SUCK YOU LIBERAL BASTARD WHO THINKS MICHAEL MOORE IS TRUTHFUL YOU ASSHOLE FUCK BITCH TITS CUNT SNATCH,Abusive
"Dumbhead 

YOU ARE A FREAKY DUMBHEAD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",Abusive
"Dude 

Dude stop busting my balls.",Abusive
"dumbass
dont call my shit a garage band, you sit on wikipedia all day and edit peoples nonsense come on how much room do you have to talk about anybodys anything.",Abusive
How about this: fuck off. Just a suggestion.,Abusive
F u c k i n g   c u n t s get a life you sad f u c k i n g gits.,Abusive
"HEY CLOWN..YOUR MEAT PUPPET,  Really FUCKED THE DOG on this on   
Is  Goethean, your personal enforcer, must have check user for the follow editors.",Abusive
"Stop...
Quit reverting my updated to the Creed article. There's nothing wrong with the part I added or the seperate section. Idk what the fuck youre talking about when you say unreferenced shit.",Abusive
"Your edits to Shockwave (roller coaster) 
Please stop being a jackass, it really ruins it for all us non-vandal AOL users",Abusive
U ANNOYIN BIITCH.. WHY U KEEP ON REVERTIN WAT I JUS DID? SMH LOSER ASS CRACKA WHO WANNA BE PUERTO RICAN,Abusive
Lol oh noes DONT BLOCK EM FROM CHANGING SHIT!!!!!!!!!,Abusive
"WOW
Oh piss off mate get a life! im just trying to see if people think these are good signings JESUS CHRIST!.",Abusive
Fuck off animal shagger.,Abusive
"Malta is an Arab 

Why are people lying? It is not an Italy thank you very cunting much!",Abusive
Supergabbyshoe Shut The Fuck Up.,Abusive
"figures you have aspergers, pedantic little fucker",Abusive
"your a fag!!! 

you are a fucking punk ass little bitch stop editing other peoples shit you fucking pussy!!
Get on your knees and suck my fucking 10 inch dick!!!!!!!!!!!!!!!",Abusive
IM GLAD THAT THE MOTHERFUCKERS WIFE DIED! FILLS ME WITH IMMENSE PLEASURE TO KNOW SUCH A BIGOT HAD TO SUFFER TERRIBLY D D D D D D D D,Abusive
why did you delete SopCast you faggot?,Abusive
Fuck you bitch! I will go to your house and kill you with my gun as well! Prepare to die!,Abusive
"you are a fucking bawbag.

get a real job you bumder and stop moaning to wikipedia you sack of spunk.

im going to come to your house and rape your children.",Abusive
Go fuck yourself you fucking dick go rot in hell piece of crap your mother is a whore,Abusive
"miltiround
i win you bitch",Abusive
"didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt
fuck your warning and fuck your mum. and gg I didn't sign this so u cant ban me as u don't know who wrote this sloppy ass cunt",Abusive
FUCK YOU CHILD MOLESTER,Abusive
Sigh. Slurring your opponents in an effort to win points to make an article slant to your POV is different than calling a bitch a bitch when dealing with a piece of fiction. P Fiction is not srs bizzness.,Abusive
"Jéské Couriano  is a stupid faggot!!!! 

Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!",Abusive
"Take this how you will, but you suck Big Black Donkey Balls",Abusive
